시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수
숙천초등학교,대구광역시 동구 숙천로 17 (숙천동),4,4,50,3,8.0,0,35.87632564,128.7530358,29.56,51.5,4
원만사유치원,대구광역시 중구 달구벌대로 2013 (동산동),1,1,9,0,43.5,0,35.8658472,128.58387,29.56,,11
종로초등학교,대구광역시 중구 경상감영길 49 (서문로1가),3,3,36,6,9.0,0,35.87249623,128.5897066,29.56,86.75,2
달서어린이집,대구광역시 달서구 대명천로8길 10 (성당동),2,1,11,3,8.0,0,35.83923761,128.5558724,30.44,,13
대구남부초등학교,대구광역시 달서구 야외음악당로15길 46 (성당동),5,5,37,12,8.0,0,35.84443849,128.5499641,30.44,101.8,4
동해유치원,대구광역시 달서구 장기로 50 (성당동),2,2,14,3,25.0,0,35.8432168,128.5549372,30.44,,7
파프리카유치원,대구광역시 달서구 대명천로21길 10 (성당동),1,1,5,4,6.0,0,35.83899766,128.5492888,30.44,,6
한글나라어린이집,대구광역시 달서구 야외음악당로9길 34 (성당동),2,0,6,4,,0,35.84142,128.5509,30.44,,0
 동그라미유치원,대구광역시 달서구 중흥로8길 50 (송현동),3,1,12,6,10.0,0,35.82909768,128.5540861,32.11,,0
가나유치원,대구광역시 달서구 송현로7길 15 (상인동),2,3,24,4,,0,35.82353,128.5454,32.11,,4
대남초등학교,대구광역시 달서구 월배로68길 91 (송현동),9,9,85,27,10.0,0,35.82418641,128.5517497,32.11,43.2,0
리라유치원,대구광역시 달서구 앞산순환로 225 (송현동),1,2,5,0,35.0,0,35.82397008,128.5537072,32.11,,1
멘사창의유치원,대구광역시 달서구 송현로8길 92 (송현동),2,2,9,3,,0,35.82557,128.5515,32.11,,0
문화유치원,대구광역시 달서구 월배로83길 120-11 (송현동),3,2,10,4,6.0,0,35.83264361,128.5452448,32.11,,5
소망어린이집,대구광역시 달서구 앞산순환로61길 68 (송현동),3,3,11,5,8.0,0,35.83077848,128.5588127,32.11,,0
송현초등학교,대구광역시 달서구 송현로 128 (송현동),7,8,36,20,20.0,0,35.82868737,128.5448304,32.11,0.2,11
예현유치원,대구광역시 달서구 월배로75길 78 (송현동),2,3,13,5,10.0,0,35.83085801,128.5474352,32.11,,5
큰사랑어린이집,대구광역시 달서구 월배로75길 132 (송현동),2,2,26,7,8.0,0,35.83342657,128.5474861,32.11,,12
한국어린이집,대구광역시 달서구 중흥로8길 112 (송현동),2,2,12,6,10.0,0,35.82683456,128.5521334,32.11,,0
효성초등학교,대구광역시 달서구 송현로 81 (송현동),2,1,19,0,20.0,0,35.82406479,128.5429839,32.11,23.0,12
 코오롱아인슈타인유치원,"대구광역시 수성구 수성로 412 (수성동4가, 수성보성타운)",1,2,15,8,20.0,0,35.861991,128.6144895,35.25,103.8,20
DGB아이꿈터어린이집,대구광역시 수성구 달구벌대로 2271-5 (수성동4가),2,3,15,3,8.0,0,35.860973,128.6108859,35.25,,14
금강어린이집,대구광역시 수성구 수성로75길 24 (수성동1가),3,1,9,6,7.5,0,35.857311,128.612566,35.25,,3
동성초등학교,대구광역시 수성구 수성로 311 (수성동1가),2,4,27,3,19.0,0,35.85344576,128.6127129,35.25,250.0,12
동일초등학교,대구광역시 수성구 들안로 311 (수성동2가),2,5,25,4,26.0,0,35.8581009,128.6168809,35.25,256.4,14
수성어린이집,대구광역시 수성구 명덕로76길 80-1 (수성동1가),1,1,10,1,8.0,0,35.851047,128.611237,35.25,230.6,1
수성영희어린이집,대구광역시 수성구 신천동로86길 25 (수성동4가),2,1,16,4,7.0,0,35.86168383,128.6117861,35.25,1.6,7
수성유치원,대구광역시 수성구 신천동로96길 45 (수성동4가),3,2,14,4,8.0,0,35.86477932,128.6161398,35.25,,5
신세계유치원,대구광역시 수성구 신천동로62길 17 (수성동1가),1,2,9,3,8.0,0,35.852548,128.6099755,35.25,,3
수창초등학교,대구광역시 중구 달성로22길 30 (수창동),7,12,77,30,18.5,0,35.8742603,128.5834453,29.56,426.5,11
대구호산초등학교,대구광역시 달서구 달서대로109길 116 (호산동),3,3,35,1,20.0,0,35.84907047,128.4790049,35.93,240.4,21
신당초등학교,대구광역시 달서구 서당로 14 (신당동),2,2,16,7,20.0,1,35.85329967,128.496288,35.93,291.6,29
신서초등학교,대구광역시 달서구 계대동문로3길 46 (신당동),12,6,30,11,10.0,1,35.85799273,128.4947454,35.93,123.4,3
우정유치원,대구광역시 달서구 선원로14길 10 (신당동),3,1,12,2,8.0,0,35.85859122,128.4990642,35.93,,11
은초롱유치원,대구광역시 달서구 서당로7길 93 (신당동),3,3,14,5,10.0,2,35.85425496,128.4938553,35.93,,10
파호초등학교,대구광역시 달서구 달서대로109안길 76 (호산동),3,5,18,7,15.0,0,35.85058152,128.4815078,35.93,153.2,10
행복나무유치원,대구광역시 달서구 성서서로73길 68 (신당동),1,1,5,1,6.0,1,35.85821036,128.496413,35.93,,8
혜민어린이집,대구광역시 달성군 화원읍 명천로 231 (명곡미래빌 2단지),0,0,0,0,,0,35.84813,128.4836,35.93,,0
강남유치원,대구광역시 동구 신암로18길 19 (신암동),2,2,22,4,8.0,0,35.877706,128.612603,34.16,,0
꿈꽃어린이집,대구광역시 동구 송라로 110 (신암동),1,0,6,0,8.0,0,35.876872,128.616848,34.16,,2
대구덕성초등학교,대구광역시 동구 아양로34길 50 (신암동),3,2,18,5,6.0,0,35.88210504,128.6284765,34.16,742.25,6
대구동부초등학교,대구광역시 동구 신암북로7길 22 (신암동),4,4,25,4,6.0,0,35.88802582,128.6198324,34.16,19.25,2
대구동신초등학교,대구광역시 동구 송라로 123 (신암동),4,7,59,12,8.0,0,35.87827534,128.6150277,34.16,95.5,17
대구신성초등학교,대구광역시 동구 동북로71길 29 (신암동),4,3,31,12,6.0,0,35.89012297,128.6289427,34.16,9.5,2
대구아양초등학교,대구광역시 동구 아양로 221 (신암동),2,1,15,1,8.0,0,35.88746268,128.6374338,34.16,26.5,7
동구청어린이집,대구광역시 동구 신암남로 175-1 (신암동),2,1,12,3,10.0,0,35.88768898,128.636004,34.16,,3
동대구초등학교,대구광역시 동구 신암남로 45 (신암동),4,8,37,6,8.0,0,35.87969333,128.62097,34.16,97.75,4
사과나무유치원,대구광역시 동구 아양로8길 31-4 (신암동),0,0,0,0,6.0,0,35.87987577,128.620657,34.16,,4
온뜨레피움어린이집,대구광역시 동구 아양로 213-6 (신암동),1,0,4,0,6.0,0,35.88711021,128.6367229,34.16,,3
행복유치원,대구광역시 동구 신암북로7길 75 (신암동),2,3,5,4,8.0,0,35.888735,128.617919,34.16,,1
대구신천초등학교,대구광역시 동구 송라로6길 5 (신천동),7,5,55,4,6.0,1,35.871649,128.6210093,34.22,25.75,11
대구효신초등학교,대구광역시 동구 동부로34길 70 (신천동),2,5,20,5,6.0,0,35.87267001,128.6321105,34.22,64.0,0
예일어린이집,대구광역시 동구 동부로 67-1 (신천동),1,0,6,0,6.0,0,35.875539,128.619791,34.22,,8
청구어린이집,대구광역시 동구 송라로 3-6 (신천동),1,1,10,2,6.0,0,35.86847567,128.618421,34.22,,19
청산어린이집,대구광역시 동구 송라로3길 13-3 (신천동),1,0,9,2,8.0,0,35.869435,128.619153,34.22,,13
키즈오르다어린이집,대구광역시 동구 국채보상로165길 31 (신천동),1,0,9,2,,0,35.8697,128.6158,34.22,,0
하나린어린이집,대구광역시 동구 신암로12길 53 (신천동),1,1,12,1,6.0,0,35.87542121,128.6118783,34.22,,7
 자연동화유치원,대구광역시 동구 안심로51길 13-2 (서호동),0,0,0,0,8.0,1,35.86684127,128.712357,45.96,,0
단비유치원,"대구광역시 수성구 신매로 51 (신매동, 시지천마타운)",1,1,20,6,18.0,0,35.83447236,128.7060699,45.96,6.4,8
대구강동초등학교,대구광역시 동구 동호로7길 17 (신서동),3,2,18,4,8.0,1,35.86809748,128.7302386,45.96,167.75,13
대구반야월초등학교,대구광역시 동구 안심로49길 70 (서호동),2,2,13,5,6.0,1,35.86827367,128.7107622,45.96,88.5,0
대구새론초등학교,대구광역시 동구 과학로13길 5 (각산동),2,2,24,0,8.0,0,35.88380453,128.717223,45.96,94.0,10
대구송정초등학교,대구광역시 동구 안심로90길 9 (괴전동),4,10,45,4,8.0,0,35.87060736,128.7340267,45.96,137.25,12
더플로우유치원,대구광역시 동구 반야월북로 189-30 (각산동),2,1,21,4,,0,35.87588,128.7188,45.96,,0
무산유치원,대구광역시 동구 경안로103길 31 (서호동),6,4,20,17,8.0,1,35.868034,128.712183,45.96,,3
사월초등학교,대구광역시 수성구 달구벌대로656길 46 (신매동),1,2,20,6,18.5,0,35.83405266,128.7150423,45.96,67.6,9
소명어린이집,대구광역시 동구 율하동로28길 39 (신기동),1,1,6,3,8.0,0,35.871458,128.7070186,45.96,,0
수피아어린이집,대구광역시 동구 메디밸리로8길 11 (사복동),0,0,0,0,12.0,0,35.87587974,128.75082,45.96,,8
수피아유치원,대구광역시 동구 메디밸리로8길 11 (사복동),0,0,0,0,12.0,0,35.87587974,128.75082,45.96,,8
신매초등학교,대구광역시 수성구 달구벌대로650길 26 (신매동),3,4,37,18,14.5,1,35.83660884,128.709212,45.96,297.2,8
싱어송유치원,대구광역시 동구 신서로 71-52 (각산동),1,0,4,1,4.0,0,35.875051,128.721113,45.96,,0
아인유치원,대구광역시 동구 화랑로 558 (용계동),1,0,2,0,30.0,0,35.87433428,128.684644,45.96,,3
에벤에셀유치원,대구광역시 동구 금강로16길 25-12 (신서동),3,1,7,7,8.0,0,35.86436912,128.732369,45.96,,0
예뜰유치원,대구광역시 동구 반야월북로55길 43 (신서동),2,1,10,3,,0,35.87493,128.7306,45.96,,0
예쁜손어린이집,대구광역시 동구 율하동로26길 22 (신기동),2,2,12,5,,0,35.87229,128.7031,45.96,,21
온누리유치원,대구광역시 동구 안심로7길 21 (용계동),1,1,6,4,12.0,0,35.87241375,128.693319,45.96,,6
욱수초등학교,대구광역시 수성구 신매로 20 (신매동),6,4,49,23,14.0,1,35.83137816,128.7077006,45.96,52.2,7
정원유치원,대구광역시 동구 이노밸리로29길 76 (각산동),2,2,28,1,7.0,0,35.88593571,128.7137965,45.96,,9
천사유치원,"대구광역시 수성구 신매로 91 (신매동, 시지삼주한라협화타운)",1,1,30,6,20.0,1,35.83749115,128.7069579,45.96,456.4,5
키즈로스쿨어린이집,대구광역시 동구 반야월로26길 61-2 (신기동),1,0,4,0,6.0,0,35.870227,128.701366,45.96,,0
대구강림초등학교,대구광역시 달성군 옥포읍 돌미로 15 ,8,1,23,0,,0,35.78124474,128.436759,65.3,237.6,16
대구금계초등학교,대구광역시 달성군 옥포읍 금계길 55 ,4,5,42,2,,0,35.78883806,128.443791,65.3,12.4,2
반송초등학교,대구광역시 달성군 옥포읍 용연사길 5 ,3,1,18,4,,0,35.75661793,128.4946927,65.3,2.4,1
신솔정유치원,대구광역시 달성군 옥포읍 비슬로455길 24 ,2,3,19,10,,0,35.791737,128.4687743,65.3,,0
예아람학교,대구광역시 달성군 옥포읍 비슬로 1934 ,0,0,0,0,,0,35.78006732,128.4343568,65.3,,12
옥빛유치원,대구광역시 달성군 옥포읍 돌미로2서길 20 ,0,0,0,0,,0,35.77889598,128.4364841,65.3,,4
옥포예일유치원,대구광역시 달성군 옥포읍 법화길 61 ,1,0,12,2,,0,35.78659013,128.4462115,65.3,,11
옥포초등학교,대구광역시 달성군 옥포읍 비슬로 2220 ,2,4,21,0,,0,35.78778718,128.4641599,65.3,21.6,3
 자연과학유치원,대구광역시 달서구 성지로16길 41 (용산동),6,3,12,4,6.0,1,35.85689206,128.5223818,33.27,,6
가야유치원,"대구광역시 달서구 성서동로 350 (용산동, 평화타운)",0,0,0,0,30.0,0,35.85114028,128.5164431,33.27,,19
대구성지초등학교,대구광역시 달서구 새동네로 27 (용산동),2,2,33,9,20.0,0,35.85329006,128.5187152,33.27,809.0,17
대구세명학교,대구광역시 달서구 새방로 62 (용산동),1,1,9,0,30.0,0,35.86341822,128.5243182,33.27,,18
더좋은유치원,"대구광역시 달서구 선원로 241 (용산동, 성서2차보성타운)",1,1,7,0,,1,35.85968,128.5184,33.27,,6
선원초등학교,대구광역시 달서구 선원로33길 105 (용산동),3,2,19,5,12.0,0,35.86108823,128.5155245,33.27,83.4,2
선혜유치원,대구광역시 달서구 선원로57길 17 (용산동),5,1,16,3,8.0,0,35.86008631,128.5236318,33.27,,0
성산초등학교,대구광역시 달서구 선원남로 173 (용산동),0,0,0,0,25.0,1,35.85789855,128.5189229,33.27,246.2,3
용산유치원,대구광역시 달서구 선원로55길 11-8 (용산동),4,2,10,2,6.0,0,35.85948655,128.5226867,33.27,239.6,6
용산초등학교,대구광역시 달서구 와룡로49길 80 (용산동),6,3,40,21,6.0,1,35.85522492,128.5320158,33.27,,3
용전초등학교,대구광역시 달서구 용산로 260 (용산동),3,2,34,10,20.0,0,35.86109075,128.5312555,33.27,55.2,4
은하수어린이집,대구광역시 달서구 달구벌대로301길 58 (용산동),2,1,10,3,10.0,0,35.85234239,128.532161,33.27,,3
은혜어린이집,대구광역시 달서구 선원로53길 34-10 (용산동),1,1,4,2,6.0,0,35.86015477,128.5223989,33.27,,4
장산초등학교,대구광역시 달서구 장산로 30 (용산동),3,3,24,1,30.0,0,35.85483742,128.5265307,33.27,158.6,24
한솔어린이집,대구광역시 달서구 성지로16길 69-6 (용산동),2,2,8,1,6.0,1,35.8578109,128.5225034,33.27,,10
달성초등학교,대구광역시 서구 고성로 127 (원대동1가),33,14,57,19,15.0,0,35.88281761,128.5792117,29.51,80.4,7
성산어린이집,대구광역시 서구 옥산로6길 9 (원대동3가),3,4,11,7,8.0,0,35.885754,128.578864,29.51,,11
 하늘꿈어린이집,대구광역시 달서구 조암로14안길 18-9 (월성동),2,1,11,4,6.0,0,35.82400034,128.5207155,32.97,,8
대구감천초등학교,대구광역시 달서구 구마로12길 60 (월성동),4,5,38,12,15.0,0,35.83526704,128.5330982,32.97,84.4,0
대구월암초등학교,대구광역시 달서구 조암로6길 55 (월성동),6,11,98,17,10.0,2,35.828572,128.5217032,32.97,,17
대구한샘초등학교,대구광역시 달서구 월배로11길 42 (대천동),3,3,29,8,20.0,3,35.81699982,128.5188133,32.97,,19
라온어린이집,대구광역시 달서구 조암남로14길 57 (월성동),1,0,3,2,8.0,2,35.82332367,128.525094,32.97,,13
상원어린이집,대구광역시 달서구 조암로 89-23 (월성동),0,0,0,0,8.0,0,35.82250939,128.5216688,32.97,2.8,11
성서어린이집,대구광역시 달서구 성서서로 89 (월암동),2,1,10,0,,0,35.83312,128.4999,32.97,,0
솔리유치원,대구광역시 달서구 조암남로19길 11 (월성동),0,0,0,0,8.0,1,35.81935795,128.5229983,32.97,,11
송일초등학교,대구광역시 달서구 학산로2길 38 (월성동),2,4,25,7,15.0,4,35.82411883,128.5328131,32.97,71.0,26
신월초등학교,대구광역시 달서구 조암남로 100 (월성동),8,3,27,9,20.0,1,35.82059631,128.5224969,32.97,,4
썸머힐어린이집,대구광역시 달서구 조암남로27길 10 (대천동),1,1,4,0,8.0,3,35.81744454,128.5194445,32.97,,11
월서유치원,대구광역시 달서구 조암남로16길 34 (월성동),3,3,11,3,25.0,0,35.822893,128.5225789,32.97,,13
월성아이세상어린이집,대구광역시 달서구 조암남로10길 42 (월성동),3,1,17,8,8.0,2,35.82283274,128.5260536,32.97,,14
월성초등학교,대구광역시 달서구 학산로7길 26 (월성동),0,0,0,0,20.0,1,35.8310902,128.5318969,32.97,,21
이노유치원,대구광역시 달서구 조암남로20길 54 (월성동),0,0,0,0,8.0,0,35.82184592,128.5211982,32.97,,7
조암초등학교,대구광역시 달서구 조암로5길 19 (월성동),4,8,41,8,10.0,2,35.82408224,128.5284353,32.97,,17
학산초등학교,대구광역시 달서구 월성로 76 (월성동),0,0,0,0,15.0,0,35.83110683,128.5260862,32.97,9.8,21
대구비슬초등학교,대구광역시 달성군 유가읍 테크노북로 144 ,4,9,65,0,,2,35.69605694,128.458744,54.32,,15
대구유가초등학교,대구광역시 달성군 유가읍 테크노대로5길 34 ,3,2,55,0,,2,35.69223444,128.4677385,54.32,478.8,15
테크노초등학교,대구광역시 달성군 유가읍 현풍로 245 ,7,0,0,0,,0,35.70006861,128.4634402,54.32,,5
대구안일초등학교,대구광역시 동구 율하동로23길 66 (율하동),2,2,40,3,8.0,0,35.871415,128.6952236,45.96,247.25,0
대구율금초등학교,대구광역시 동구 안심로16길 70 (율하동),5,5,61,5,20.0,1,35.86188781,128.6918367,45.96,18.0,13
대구율원초등학교,대구광역시 동구 율하동로 55 (율하동),2,3,21,1,30.0,1,35.864894,128.700743,45.96,142.25,7
율빛유치원,대구광역시 동구 율하서로3길 45 (율하동),0,0,0,0,,0,35.86078,128.6881,45.96,,4
율하유치원,대구광역시 동구 안심로16길 19 (율하동),1,1,6,0,8.0,1,35.86633074,128.694752,45.96,,14
율하초등학교,대구광역시 동구 율하동로15길 1 (율하동),6,4,36,8,6.0,1,35.86781358,128.7015369,45.96,172.25,5
키즈하버드어린이집,대구광역시 동구 율하동로8길 75 (율하동),0,0,0,0,8.0,1,35.864335,128.701941,45.96,,7
파란하늘유치원,대구광역시 동구 금호강변로3길 14 (율하동),3,2,20,0,,0,35.86937,128.6891,45.96,,9
 사랑어린이집,대구광역시 북구 칠곡중앙대로126길 3 (읍내동),0,0,0,0,,0,35.9511061,128.553947,37.86,,7
교동초등학교,대구광역시 북구 관음중앙로34길 4 (읍내동),4,3,22,10,,0,35.9447886,128.5494726,37.86,54.5,4
대천초등학교,대구광역시 북구 구암로21길 54 (읍내동),3,3,21,4,,0,35.93721038,128.554364,37.86,16.0,17
반디유치원,대구광역시 북구 관음동로32길 6-13 (읍내동),1,3,7,2,,0,35.9461262,128.5477343,37.86,,2
삼성유치원,대구광역시 북구 동암로 21-19 (읍내동),7,6,41,8,,0,35.9474763,128.5535989,37.86,,5
새솔유치원,"대구광역시 북구 동암로7길 39 (읍내동, 칠곡한서타운)",1,2,7,7,,0,35.94955113,128.5555721,37.86,,0
예일유치원,"대구광역시 북구 대천로7길 40 (읍내동, 칠곡산호한양아파트)",0,0,0,0,,0,35.94103818,128.5557731,37.86,,0
