시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수,위험도_raw,위험도점수(0~100)
봉덕초등학교,대구광역시 남구 효성로 71 (봉덕동),8,10,107,15,11.5,1,35.83968058,128.5968435,37.09,260.2,8,0.3307466141333558,27.83406156106046
계명유치원,대구광역시 남구 명덕로20길 24 (대명동),2,4,18,4,8.0,0,35.85645873,128.5793986,35.31,69.30000000000001,5,0.3306872573090108,27.82233785899223
황금초등학교,대구광역시 수성구 들안로32길 22 (황금동),4,5,28,12,9.0,0,35.84422116,128.618389,42.36,69.30000000000001,2,0.33058567490964963,27.802274087073386
행복한어린이집,대구광역시 달서구 화암로 301 (대곡동),1,1,10,2,12.0,0,35.80469338,128.516933,30.92,69.30000000000001,12,0.3305162387601214,27.78855959444652
구암어린이집,대구광역시 북구 구암로42길 13-20 (구암동),3,2,13,2,9.0,0,35.9302986,128.5630209,31.82,0.5,3,0.33028669074319134,27.74322104086764
동성초등학교,대구광역시 수성구 수성로 311 (수성동1가),2,4,27,3,19.0,0,35.85344576,128.6127129,35.25,250.0,12,0.3300610073911963,27.69864580609483
고산초등학교,대구광역시 수성구 달구벌대로 3067 (시지동),3,2,38,14,11.0,0,35.84395474,128.693198,41.83,54.2,5,0.3298351907630825,27.65404424765112
달서어린이집,대구광역시 달서구 대명천로8길 10 (성당동),2,1,11,3,8.0,0,35.83923761,128.5558724,30.44,69.30000000000001,13,0.32972693301133693,27.632662011622738
DGB아이꿈터어린이집,대구광역시 수성구 달구벌대로 2271-5 (수성동4가),2,3,15,3,8.0,0,35.860973,128.6108859,35.25,69.30000000000001,14,0.3293913376212003,27.56637779893371
동원초등학교,대구광역시 수성구 국채보상로 1000 (만촌동),2,1,35,4,25.0,0,35.86486838,128.639886,39.84,51.8,8,0.328896117260457,27.46856569339171
모란어린이집,대구광역시 수성구 지산로3길 115 (두산동),3,3,13,4,8.0,0,35.82497799,128.626288,33.37,69.30000000000001,9,0.32887671595973356,27.46473369813376
해오름유치원,대구광역시 달서구 도원남로 54 (도원동),0,0,0,0,25.0,0,35.80397398,128.5348468,31.93,69.30000000000001,18,0.32855394279850664,27.400982033188757
룸비니유치원,대구광역시 남구 대명남로 140 (대명동),4,3,26,3,13.0,0,35.83497147,128.5737033,35.31,71.0,6,0.32694447893570266,27.083093146354
대곡가야유치원,대구광역시 달서구 비슬로538길 7 (대곡동),2,2,13,7,8.0,0,35.80770731,128.5096029,30.92,69.30000000000001,5,0.3268547000571683,27.065360714816926
가야유치원,"대구광역시 달서구 성서동로 350 (용산동, 평화타운)",0,0,0,0,30.0,0,35.85114028,128.5164431,33.27,69.30000000000001,19,0.32635723439276704,26.967105134216606
난나유치원,"대구광역시 달서구 성서서로 330 (이곡동, 성서청남타운)",2,1,9,1,30.0,0,35.85406557,128.5003974,34.32,69.30000000000001,11,0.3258016996839518,26.857380203906157
호동어린이집,대구광역시 남구 희망로5길 19 (이천동),2,5,22,6,12.5,0,35.84884861,128.600145,41.53,69.30000000000001,12,0.3257503964560054,26.847247186073435
예현유치원,대구광역시 달서구 월배로75길 78 (송현동),2,3,13,5,10.0,0,35.83085801,128.5474352,32.11,69.30000000000001,5,0.32572272319307777,26.841781376650527
대구효신초등학교,대구광역시 동구 동부로34길 70 (신천동),2,5,20,5,6.0,0,35.87267001,128.6321105,34.22,64.0,0,0.3253953407103758,26.777119314083915
대구비산초등학교,대구광역시 서구 통학로 202 (평리동),9,4,24,5,15.0,0,35.87875905,128.5643247,35.23,183.2,11,0.32521260339844565,26.741026449860517
우주과학유치원,대구광역시 북구 오봉로6길 9-1 (노원동1가),3,3,14,2,9.0,0,35.8903643,128.5776159,35.22,69.30000000000001,19,0.3244278956875901,26.586037036019356
대구호산초등학교,대구광역시 달서구 달서대로109길 116 (호산동),3,3,35,1,20.0,0,35.84907047,128.4790049,35.93,240.4,21,0.32331986577540867,26.367187515068114
리라유치원,대구광역시 달서구 앞산순환로 225 (송현동),1,2,5,0,35.0,0,35.82397008,128.5537072,32.11,69.30000000000001,1,0.3232438371232337,26.352170922172796
다인유치원,대구광역시 북구 대현남로 34 (대현동),4,1,50,4,9.0,0,35.88114395,128.607228,35.87,69.30000000000001,10,0.32318103229996453,26.339766197954816
가나유치원,대구광역시 달서구 송현로7길 15 (상인동),2,3,24,4,9.0,0,35.82353,128.5454,32.11,69.30000000000001,4,0.3224995968943625,26.205174333208483
동학어린이집,대구광역시 남구 자유5길 16 (대명동),3,4,24,11,7.0,0,35.83750833,128.5840424,35.31,69.30000000000001,0,0.32227987449483325,26.161776459784143
리리유치원,대구광역시 수성구 신천동로34길 19 (중동),3,2,22,7,8.0,0,35.84040378,128.608955,33.28,69.30000000000001,11,0.32150045097098573,26.007830737798777
대구동부초등학교,대구광역시 동구 신암북로7길 22 (신암동),4,4,25,4,6.0,0,35.88802582,128.6198324,34.16,19.25,2,0.3213875765823693,25.98553665926823
반야유치원,대구광역시 남구 장전1길 92 (대명동),2,3,21,8,8.0,0,35.84023286,128.5760702,35.31,69.30000000000001,11,0.3209909006491825,25.90718828888904
대천초등학교,대구광역시 북구 구암로21길 54 (읍내동),3,3,21,4,9.0,0,35.93721038,128.554364,37.86,16.0,17,0.32057227951315687,25.824505471329616
동덕초등학교,대구광역시 중구 동덕로26길 20 (삼덕동2가),3,2,31,1,9.0,0,35.864739,128.604646,30.23,17.5,1,0.3196124014506309,25.634917760884303
경상유치원,대구광역시 남구 현충로48길 31-9 (대명동),2,4,33,8,9.0,0,35.85321709,128.5854639,35.31,69.30000000000001,0,0.3192181109840653,25.557040549470717
경북대학교 사범대학 부설초등학교,대구광역시 중구 달구벌대로 2150 (봉산동),2,2,12,2,8.0,0,35.86358293,128.5980661,29.56,69.30000000000001,15,0.31912299950841094,25.53825486448597
파호초등학교,대구광역시 달서구 달서대로109안길 76 (호산동),3,5,18,7,15.0,0,35.85058152,128.4815078,35.93,153.2,10,0.31907034775002174,25.527855495322704
"특수학교(광명,영화,보명,보건,덕희)5개교",대구광역시 남구 성당로50길 33 (대명동),3,5,28,5,7.0,0,35.85594776,128.575077,35.31,69.30000000000001,4,0.3185350032844389,25.422118386108707
상지유치원,대구광역시 서구 달서로 33 (내당동),7,2,20,7,8.0,0,35.86586634,128.5703329,30.86,69.30000000000001,8,0.31841713079865663,25.398837121981106
경동초등학교,대구광역시 수성구 청호로76길 12 (범어동),3,4,47,11,10.0,0,35.85220526,128.6393816,36.68,205.8,7,0.3183398478938307,25.383572798777426
스카이유치원,대구광역시 달서구 당산로 12 (본리동),2,1,11,2,9.0,0,35.8386,128.5451,32.6,69.30000000000001,29,0.317979811183454,25.312461125054035
중앙초등학교,대구광역시 수성구 만촌로 125 (만촌동),3,5,35,10,17.0,0,35.87001293,128.6403507,39.84,211.6,13,0.31797270308241615,25.311057187768682
신암초등학교,대구광역시 북구 경대로 21 (대현동),5,3,49,1,9.0,0,35.88376396,128.6116222,35.87,5.5,2,0.3175160666512125,25.220865882354325
효성초등학교,대구광역시 달서구 송현로 81 (송현동),2,1,19,0,20.0,0,35.82406479,128.5429839,32.11,23.0,12,0.31700155401873636,25.119243316119555
월곡초등학교,대구광역시 달서구 상인로 40 (상인동),2,2,18,3,20.0,0,35.81216502,128.5492651,36.08,1.2,12,0.3166820834428907,25.05614395236304
동인초등학교,대구광역시 중구 국채보상로 728 (동인동4가),3,5,23,1,10.0,0,35.86808366,128.6095066,35.43,0.25,4,0.3163301012863956,24.986623151989807
세화유치원,대구광역시 서구 서대구로5길 56 (내당동),6,4,15,6,12.0,0,35.86000712,128.5504904,30.86,69.30000000000001,0,0.3162630969767255,24.973388977612597
자연과예술유치원,대구광역시 달서구 월배로5길 11-4 (유천동),2,1,29,5,8.0,0,35.81210506,128.516097,30.92,69.30000000000001,13,0.31621464610989986,24.963819336145438
대구세명학교,대구광역시 달서구 새방로 62 (용산동),1,1,9,0,30.0,0,35.86341822,128.5243182,33.27,69.30000000000001,18,0.3154388961205992,24.810599182366257
동일초등학교,대구광역시 수성구 들안로 311 (수성동2가),2,5,25,4,26.0,0,35.8581009,128.6168809,35.25,256.4,14,0.3142652469508286,24.57878905184059
하나렘어린이집,대구광역시 달서구 월배로 235 (상인동),1,2,11,0,35.0,0,35.81996355,128.5388941,36.08,69.30000000000001,16,0.314232351895104,24.572291874185147
큰사랑어린이집,대구광역시 달서구 월배로75길 132 (송현동),2,2,26,7,8.0,0,35.83342657,128.5474861,32.11,69.30000000000001,12,0.3137720446401727,24.48137553598471
대구세천초등학교,대구광역시 달성군 다사읍 세천로 182-9 ,2,5,32,4,9.0,0,35.87434699,128.4814697,40.57,62.8,19,0.31374228552787586,24.475497745684553
사랑숲유치원,"대구광역시 수성구 용학로 272 (범물동, 범물창신태성한라맨션)",2,2,26,2,15.0,0,35.82049947,128.6393843,36.31,2.4,17,0.31337872531851385,24.40369013762173
현풍초등학교,대구광역시 달성군 현풍읍 비슬로134길 167-6 ,20,7,82,22,9.0,0,35.69810979,128.4484673,56.15,69.4,1,0.313198079710623,24.36801041064485
시지초등학교,대구광역시 수성구 달구벌대로631길 17 (매호동),4,4,53,10,15.0,0,35.843725,128.7031926,41.83,69.30000000000001,4,0.31309002931823815,24.346669130637824
 칠곡한솔유치원,대구광역시 북구 태암로18길 20-7 (구암동),4,4,22,7,9.0,0,35.9259879,128.5550239,31.82,69.30000000000001,3,0.3128128187705253,24.291916641645766
천내초등학교,대구광역시 달성군 화원읍 성천로 192 ,5,7,59,11,9.0,0,35.80943449,128.501982,49.99,11.0,6,0.31213952747161305,24.15893333802945
 코오롱아인슈타인유치원,"대구광역시 수성구 수성로 412 (수성동4가, 수성보성타운)",1,2,15,8,20.0,0,35.861991,128.6144895,35.25,103.8,20,0.3115845496304593,24.049318395923837
달서초등학교,대구광역시 서구 국채보상로34길 35 (중리동),20,7,45,17,26.0,0,35.8668447,128.5505173,50.57,154.2,8,0.3115578356122587,24.04404204911983
대구송정초등학교,대구광역시 동구 안심로90길 9 (괴전동),4,10,45,4,8.0,0,35.87060736,128.7340267,45.96,137.25,12,0.31154801725109654,24.04210280216157
만촌초등학교,대구광역시 수성구 국채보상로214길 33 (만촌동),5,4,39,14,8.0,0,35.86669044,128.6479211,39.84,27.8,4,0.3109931313623238,23.932506021780945
노전초등학교,대구광역시 달서구 한실로 43 (도원동),2,1,19,0,25.0,0,35.80816336,128.5312014,31.93,85.4,19,0.3108185025559523,23.898014687026762
동해유치원,대구광역시 달서구 장기로 50 (성당동),2,2,14,3,25.0,0,35.8432168,128.5549372,30.44,69.30000000000001,7,0.31035312849007357,23.806097591413184
칠곡혜성유치원,대구광역시 북구 학정로42길 40 (구암동),6,5,20,5,9.0,0,35.9267826,128.5589679,31.82,69.30000000000001,4,0.30998505112369,23.733397789340653
참좋은어린이집,대구광역시 남구 중앙대로 126 (봉덕동),1,2,15,0,40.0,0,35.84435136,128.5910004,37.09,69.30000000000001,16,0.30954056944012776,23.645607195919137
대구신성초등학교,대구광역시 동구 동북로71길 29 (신암동),4,3,31,12,6.0,0,35.89012297,128.6289427,34.16,9.5,2,0.3090685257332085,23.552372764256596
동산초등학교,대구광역시 수성구 동대구로42길 29 (범어동),3,5,24,17,9.0,0,35.849159,128.6280729,36.68,72.0,0,0.3087762477856441,23.494644278675246
롯데가야유치원,"대구광역시 달서구 대명천로 101 (본리동, 본리 롯데캐슬)",2,2,24,8,15.0,0,35.83903418,128.5471926,32.6,69.30000000000001,11,0.30865461866801797,23.47062103360436
신흥초등학교,대구광역시 달서구 두류공원로 257 (두류동),5,5,33,6,8.0,0,35.85636069,128.5563354,32.95,69.8,1,0.3083854183932522,23.41745067193385
남대구초등학교,대구광역시 남구 중앙대로47길 55 (대명동),4,7,47,7,7.0,0,35.85355805,128.5864853,35.31,167.0,0,0.3082815326196448,23.396931955302037
종로초등학교,대구광역시 중구 경상감영길 49 (서문로1가),3,3,36,6,9.0,0,35.87249623,128.5897066,29.56,86.75,2,0.30761753038467815,23.26578335594075
월서유치원,대구광역시 달서구 조암남로16길 34 (월성동),3,3,11,3,25.0,0,35.822893,128.5225789,32.97,69.30000000000001,13,0.30716486138590404,23.176375667175243
대구한실초등학교,대구광역시 달서구 한실로6길 108 (대곡동),5,2,25,8,10.0,0,35.79831438,128.5285689,30.92,69.30000000000001,12,0.30662706769145015,23.070154805167903
아인슈타인어린이집,대구광역시 북구 동천로 5-13 (동천동),3,2,23,4,9.0,0,35.93229877,128.5569404,29.97,69.30000000000001,17,0.306431311956383,23.031490642430132
 하늘어린이집,대구광역시 북구 고성로34길 90 (고성동1가),4,3,26,7,9.0,0,35.8793927,128.5881726,32.37,69.30000000000001,13,0.3060804807468193,22.962197168216427
삼성유치원,대구광역시 북구 동암로 21-19 (읍내동),7,6,41,8,9.0,0,35.9474763,128.5535989,37.86,69.30000000000001,5,0.30386962553304453,22.525526100849135
성산어린이집,대구광역시 서구 옥산로6길 9 (원대동3가),3,4,11,7,8.0,0,35.885754,128.578864,29.51,69.30000000000001,11,0.30365559271236753,22.48325198915048
동천초등학교,대구광역시 수성구 상록로16길 20 (범어동),6,5,64,18,13.5,0,35.86584544,128.6252838,36.68,426.0,17,0.3028989903163032,22.33381372028349
용전초등학교,대구광역시 달서구 용산로 260 (용산동),3,2,34,10,20.0,0,35.86109075,128.5312555,33.27,55.2,4,0.3022146639257927,22.198650850498993
중동어린이집,대구광역시 수성구 희망로 121 (중동),1,3,9,0,26.5,0,35.84762097,128.612134,33.28,6.0,15,0.3019269815860579,22.141830053925784
문성초등학교,대구광역시 북구 복현로 180 (복현동),6,5,33,4,9.0,0,35.9058108,128.6203544,37.46,1.75,13,0.30185391561788344,22.127398627520208
달서유치원,대구광역시 서구 국채보상로 342 (비산동),7,3,24,6,35.0,0,35.871551,128.568131,35.36,69.30000000000001,4,0.30171670428965763,22.10029770441229
범어초등학교,대구광역시 수성구 달구벌대로489길 55 (범어동),6,7,53,9,10.0,0,35.86056415,128.6334733,36.68,156.8,0,0.3009485114427815,21.94857017910928
대구화동초등학교,대구광역시 달성군 화원읍 성암로 38 ,6,9,56,11,9.0,0,35.79954584,128.5096929,49.99,48.0,11,0.30047770159800313,21.85557945037884
수성초등학교,대구광역시 수성구 상화로5길 40 (상동),4,2,37,13,7.5,0,35.83721988,128.6105947,32.21,69.30000000000001,10,0.2998909413103923,21.739687084617675
환타랜드유치원,대구광역시 북구 대천로18길 6 (동천동),4,4,21,5,9.0,0,35.9364615,128.5580673,29.97,69.30000000000001,12,0.2996706174802793,21.696170421263847
북비산초등학교,대구광역시 서구 통학로48길 7 (비산동),14,7,22,11,14.0,0,35.88154552,128.5645921,35.36,87.4,2,0.29738968921696796,21.245659065693072
원만사유치원,대구광역시 중구 달구벌대로 2013 (동산동),1,1,9,0,43.5,0,35.8658472,128.58387,29.56,69.30000000000001,11,0.29696004192292286,21.160798446457036
복현초등학교,대구광역시 북구 공항로 58 (복현동),3,4,44,5,9.0,0,35.8976053,128.6215383,37.46,48.0,20,0.29692079975258256,21.153047635684114
대구내당초등학교,대구광역시 달서구 명덕로 22-9 (두류동),6,3,31,12,6.0,0,35.86063851,128.5723871,32.95,1.4,8,0.29663760889873325,21.097113962755845
장산초등학교,대구광역시 달서구 장산로 30 (용산동),3,3,24,1,30.0,0,35.85483742,128.5265307,33.27,158.6,24,0.29614476034309434,20.99977031786206
범일초등학교,대구광역시 수성구 범안로4길 22 (범물동),4,5,38,14,10.0,0,35.81631492,128.6388291,36.31,48.8,4,0.29430325831386017,20.63605104232806
삼덕초등학교,대구광역시 중구 달구벌대로447길 10 (삼덕동3가),3,5,29,4,6.0,0,35.863588,128.6078431,30.23,32.0,8,0.29384402159613077,20.545346148377654
서대구초등학교,대구광역시 서구 서대구로63길 28-13 (비산동),13,4,26,14,20.0,0,35.8894468,128.5577335,35.36,80.6,10,0.29133105160102735,20.04900369990487
동대구초등학교,대구광역시 동구 신암남로 45 (신암동),4,8,37,6,8.0,0,35.87969333,128.62097,34.16,97.75,4,0.29114191379441146,20.011646659344326
숙천초등학교,대구광역시 동구 숙천로 17 (숙천동),4,4,50,3,8.0,0,35.87632564,128.7530358,29.56,51.5,4,0.2911186807856941,20.007057854681065
대구감천초등학교,대구광역시 달서구 구마로12길 60 (월성동),4,5,38,12,15.0,0,35.83526704,128.5330982,32.97,84.4,0,0.2907541036304847,19.935049387319154
채송화유치원,대구광역시 북구 학정로48길 42-6 (구암동),5,6,25,11,9.0,0,35.92723501,128.5605621,31.82,69.30000000000001,4,0.2904640230863068,19.877754915904006
대구북동초등학교,대구광역시 달성군 논공읍 논공로11길 18 ,15,15,96,22,9.0,0,35.72947978,128.4413202,58.89,287.4,3,0.29001601830148893,19.789268466699557
 마리아유치원,대구광역시 수성구 범어천로 90 (범어동),4,16,60,14,16.5,1,35.85676822,128.6229808,36.68,101.2,15,0.28895472025940816,19.579649064242638
대구남부초등학교,대구광역시 달서구 야외음악당로15길 46 (성당동),5,5,37,12,8.0,0,35.84443849,128.5499641,30.44,101.8,4,0.2880614765429345,19.403222455814625
대구효목초등학교,대구광역시 동구 화랑로27길 25 (효목동),5,6,24,14,8.0,0,35.87600495,128.641577,34.53,2.5,5,0.28602214790330543,19.000429994222774
칠곡초등학교,대구광역시 북구 칠곡중앙대로110길 5 (읍내동),7,10,71,22,9.0,0,35.94517034,128.5517715,37.86,442.5,7,0.28363238990774886,18.528423429447557
성서초등학교,대구광역시 달서구 달구벌대로 1339 (이곡동),3,3,16,3,50.0,0,35.85196007,128.5144445,34.32,36.2,8,0.2828594085176825,18.375750108032253
대구서재초등학교,대구광역시 달성군 다사읍 서재로 100 ,10,6,49,13,9.0,0,35.87192218,128.4983801,40.57,5.0,12,0.2821385583623256,18.233373345958302
대구초등학교,대구광역시 중구 명륜로23길 80 (봉산동),4,8,45,11,7.5,0,35.8640369,128.5953696,29.56,220.75,2,0.28178753405483586,18.164041732531793
내서초등학교,대구광역시 서구 달구벌대로371길 35 (내당동),13,8,28,20,9.0,0,35.86381875,128.5667588,30.86,201.0,0,0.2803875732146391,17.887532266623634
태전초등학교,대구광역시 북구 칠곡중앙대로75길 16 (태전동),9,10,40,12,9.0,0,35.97397,128.5345,37.86,65.0,0,0.2783767684602169,17.490373622805627
서도초등학교,대구광역시 서구 평리로 395 (평리동),19,9,25,14,21.0,0,35.86727153,128.5653531,35.23,167.2,4,0.27817270639197933,17.450068857214784
옥산초등학교,대구광역시 북구 칠성시장로23길 55 (칠성동2가),5,7,36,17,9.0,0,35.88089463,128.5978735,31.38,142.25,2,0.27779820823525336,17.376100870163565
대구성남초등학교,대구광역시 달서구 성당로47길 35 (두류동),5,6,27,10,8.0,0,35.85332922,128.5722902,32.95,6.0,12,0.27740408240789954,17.29825617701708
함지초등학교,대구광역시 북구 동천로 33 (동천동),4,6,42,6,9.0,0,35.93475358,128.5578616,29.97,72.5,8,0.2770737893639728,17.233019242849316
서부초등학교,대구광역시 서구 달서로26길 25 (비산동),15,7,25,23,13.0,0,35.87387969,128.5737138,35.36,49.6,0,0.27387240814523073,16.600707119862815
경운초등학교,대구광역시 서구 평리로54길 16 (내당동),19,7,14,26,10.0,0,35.86087951,128.552788,30.86,112.6,0,0.27282777476746534,16.39437919335085
범물초등학교,대구광역시 수성구 지범로41길 33 (범물동),3,5,48,14,13.5,0,35.82148442,128.6448572,36.31,88.8,19,0.27104051557219905,16.041373543954922
남덕초등학교,대구광역시 남구 앞산순환로93길 33 (대명동),12,7,71,14,7.0,0,35.83304211,128.5739489,35.31,71.6,0,0.2680913507283776,15.458877253754705
대성초등학교,대구광역시 서구 국채보상로 426 (비산동),7,8,34,5,35.0,0,35.87040591,128.5771526,35.36,69.2,6,0.263138849631099,14.480697440435355
대구진월초등학교,대구광역시 달서구 진천로4길 32 (진천동),4,7,42,15,8.0,0,35.81090267,128.5282878,30.92,9.6,0,0.2613727715342352,14.131875318205658
강북초등학교,대구광역시 북구 구암서로 50 (구암동),3,5,45,8,9.0,0,35.9408343,128.566782,31.82,48.0,26,0.25893773941828474,13.65092655841317
대구동신초등학교,대구광역시 동구 송라로 123 (신암동),4,7,59,12,8.0,0,35.87827534,128.6150277,34.16,95.5,17,0.2568433125385014,13.237251517451892
왕선초등학교,대구광역시 달성군 다사읍 대실역북로 93 ,10,11,77,15,9.0,0,35.863152,128.465206,40.57,271.4,21,0.2540683098764521,12.689154397914521
남산초등학교,대구광역시 중구 남산로 70 (남산동),3,6,62,5,20.5,0,35.863204,128.5827598,33.32,100.0,22,0.25092337570373424,12.067991260028235
계성초등학교,대구광역시 중구 달성로 15 (대신동),3,3,39,5,18.0,0,35.86566471,128.5811278,18.69,26.75,4,0.25087575627733905,12.058585838261198
성곡초등학교,대구광역시 달서구 선원남로 127 (이곡동),2,8,33,13,25.0,0,35.85809784,128.5135151,34.32,69.30000000000001,13,0.24934652332296434,11.756543541561044
남명초등학교,대구광역시 남구 큰골4길 41 (대명동),7,9,68,15,11.5,0,35.8343637,128.5819826,35.31,43.4,1,0.2459861617605476,11.092830847460569
영선초등학교,대구광역시 남구 영선길 96 (이천동),7,11,63,23,8.0,0,35.85290101,128.5960142,41.53,13.2,0,0.24507976132477438,10.913805625326962
구암초등학교,대구광역시 북구 학정로 245 (구암동),4,8,63,15,9.0,0,35.92814416,128.5577585,31.82,69.30000000000001,8,0.24155949455504017,10.218509688180148
대곡초등학교,대구광역시 달서구 도원남로 60 (도원동),5,5,49,12,25.0,0,35.8032986,128.5357486,31.93,69.30000000000001,24,0.23793079486141977,9.501796916355007
송현초등학교,대구광역시 달서구 송현로 128 (송현동),7,8,36,20,20.0,0,35.82868737,128.5448304,32.11,0.2,11,0.22695172142438996,7.333295023249992
대구남송초등학교,대구광역시 달서구 송현로 192 (본동),4,7,57,9,20.0,0,35.83490543,128.5453631,30.61,69.30000000000001,27,0.22258234076712832,6.470288661072712
대구장성초등학교,대구광역시 달서구 달구벌대로 1429-11 (장기동),6,13,48,19,8.0,0,35.85035905,128.5232345,38.33,9.2,13,0.22202323671523175,6.359858741650622
명덕초등학교,대구광역시 중구 남산로2길 125 (남산동),12,10,88,23,9.5,0,35.85754073,128.5890267,33.32,155.75,4,0.22031505073055974,6.022471022843376
 효명초등학교,대구광역시 남구 앞산순환로 707 (봉덕동),8,11,79,10,17.5,0,35.83464799,128.6010893,37.09,13.4,14,0.2141368491641157,4.802200307863745
수창초등학교,대구광역시 중구 달성로22길 30 (수창동),7,12,77,30,18.5,0,35.8742603,128.5834453,29.56,426.5,11,0.208908726346162,3.7695818184126706
대남초등학교,대구광역시 달서구 월배로68길 91 (송현동),9,9,85,27,10.0,0,35.82418641,128.5517497,32.11,43.2,0,0.20704274924757404,3.401028415979717
대덕초등학교,대구광역시 남구 대명서로 28 (대명동),9,16,88,19,11.5,0,35.8304316,128.561677,35.31,135.6,4,0.19121931947726198,0.2757066291150893
달성초등학교,대구광역시 서구 고성로 127 (원대동1가),33,14,57,19,15.0,0,35.88281761,128.5792117,29.51,80.4,7,0.18982342338062716,0.0
