시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수,위험도_raw,위험도점수(0~100)
연경초등학교,대구광역시 북구 연경중앙로11길 19 (연경동),5,0,53,4,9.0,0,35.9457235,128.616056,44.37,45.0,7,0.35613655764531627,32.84888734643298
대구금포초등학교,대구광역시 달성군 논공읍 금포초등길 28 ,21,4,63,2,9.0,0,35.77429302,128.4254986,58.89,127.2,33,0.35557051276337664,32.7370865278021
덕일어린이집,대구광역시 수성구 청호로92길 26 (범어동),2,2,14,4,7.0,0,35.855408,128.643261,36.68,69.30000000000001,2,0.3551069559545051,32.64552836277432
범어유치원,대구광역시 수성구 국채보상로186길 121 (범어동),1,2,8,5,8.0,0,35.86301225,128.634317,36.68,69.30000000000001,3,0.3550590542158371,32.636067180864906
금강어린이집,대구광역시 수성구 수성로75길 24 (수성동1가),3,1,9,6,7.5,0,35.857311,128.612566,35.25,69.30000000000001,3,0.35477468367327114,32.579900504921405
북대구초등학교,대구광역시 북구 동북로37길 68 (산격동),11,8,42,17,9.0,1,35.90328558,128.6095652,35.18,7.25,0,0.3545577543415808,32.537054296710984
하나린어린이집,대구광역시 동구 신암로12길 53 (신천동),1,1,12,1,6.0,0,35.87542121,128.6118783,34.22,69.30000000000001,7,0.35447143246239976,32.52000466501901
마야유치원,대구광역시 달서구 상인로26길 20 (상인동),1,1,8,5,10.0,0,35.81770549,128.5459171,36.08,69.30000000000001,6,0.35348067037889835,32.32431698098884
태현초등학교,대구광역시 북구 태전로 95 (태전동),3,2,19,5,9.0,0,35.92816693,128.5406343,42.48,29.25,9,0.35336972900324226,32.302404696267025
신세계유치원,대구광역시 수성구 신천동로62길 17 (수성동1가),1,2,9,3,8.0,0,35.852548,128.6099755,35.25,69.30000000000001,3,0.35298120541240163,32.225666513661174
한글나라어린이집,대구광역시 달서구 야외음악당로9길 34 (성당동),2,0,6,4,9.0,0,35.84142,128.5509,30.44,69.30000000000001,0,0.35234799639689973,32.100599953470784
 사랑마을유치원,대구광역시 달서구 상화북로 7 (진천동),0,0,0,0,8.0,0,35.80997304,128.527573,30.92,69.30000000000001,11,0.35220896645029953,32.07313983089031
 엘리트어린이집,대구광역시 북구 칠곡중앙대로43길 13 (태전동),5,3,23,8,9.0,0,35.9150239,128.546879,42.48,69.30000000000001,3,0.3522030442601965,32.07197012558472
덕인초등학교,대구광역시 달서구 대명천로43길 66 (본리동),7,10,29,11,8.0,1,35.83856881,128.5344708,32.6,18.6,2,0.35215337990987405,32.062160806218046
창의나라어린이집,대구광역시 서구 문화로51길 9 (평리동),3,1,10,4,8.0,0,35.87663662,128.5606027,35.23,69.30000000000001,7,0.3519657532175007,32.025102229286
선혜유치원,대구광역시 달서구 선원로57길 17 (용산동),5,1,16,3,8.0,0,35.86008631,128.5236318,33.27,69.30000000000001,0,0.35172371985871875,31.97729766729601
청산어린이집,대구광역시 동구 송라로3길 13-3 (신천동),1,0,9,2,8.0,0,35.869435,128.619153,34.22,69.30000000000001,13,0.351526396403953,31.938323860656702
큐리어스어린이집,대구광역시 달서구 당산로30길 42-7 (두류동),1,1,3,1,8.0,0,35.84727082,128.5514561,32.95,69.30000000000001,9,0.35152161808883375,31.9373800847141
동구청어린이집,대구광역시 동구 신암남로 175-1 (신암동),2,1,12,3,10.0,0,35.88768898,128.636004,34.16,69.30000000000001,3,0.35146872840178817,31.926933721717997
 경진초등학교,대구광역시 북구 경진로12길 5 (복현동),5,6,39,10,9.0,0,35.89202775,128.6170922,37.46,403.0,0,0.3514637921225123,31.9259587459137
