시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,읍면동
화원유치원,대구광역시 달성군 화원읍 비슬로525길 46 ,0,0,0,0,,0,35.808466,128.5010063,화원읍
대구황금유치원,대구광역시 수성구 청호로 286 (황금동),2,2,21,1,20.5,0,35.84474548,128.6416364,황금동
삼덕어린이집,대구광역시 수성구 청호로46길 5-2 (황금동),2,0,7,2,6.5,0,35.83869544,128.6407496,황금동
성동초등학교,대구광역시 수성구 청수로45길 27 (황금동),3,4,25,7,13,2,35.8409043,128.6322828,황금동
황금초등학교,대구광역시 수성구 들안로32길 22 (황금동),4,5,28,12,9,0,35.84422116,128.618389,황금동
 소원어린이집,대구광역시 동구 아양로52길 17 (효목동),1,1,4,2,,0,35.88666,128.6406,효목동
 효성어린이집,대구광역시 동구 효목로19길 9-6 (효목동),0,0,0,0,8,0,35.881296,128.641876,효목동
대구효목초등학교,대구광역시 동구 화랑로27길 25 (효목동),5,6,24,14,8,0,35.87600495,128.641577,효목동
세원어린이집,대구광역시 동구 효목로17길 50 (효목동),2,1,15,3,8,0,35.881853,128.640146,효목동
소원유치원,대구광역시 동구 아양로42길 12 (효목동),2,1,12,1,8,0,35.885493,128.6366879,효목동
효동초등학교,대구광역시 동구 효동로 78-7 (효목동),3,1,17,0,6,1,35.884122,128.6447389,효목동
효목어린이집,대구광역시 동구 효목로13길 23 (효목동),3,2,11,3,8,0,35.878173,128.641234,효목동
