"시설명","시설종류","지정일자","주소","구역지정수","시설물 CCTV 수","시설물 도로표지판 수","시설물 과속방지턱 수","어린이보행자 사고건수 (2020년 ~ 2021년)"
"옥빛유치원","유치원(일반)","2020년 12월 21일","대구광역시 달성군 옥포읍 돌미로2서길 20 ","0","0","0","0","0"
"율하유치원","유치원(일반)","","대구광역시 동구 안심로16길 19 (율하동)","1","1","6","0","0"
"남산초등학교","초등학교","1996년 01월 10일","대구광역시 중구 남산로 70 (남산동)","3","6","62","5","0"
"대구월서초등학교","초등학교","","대구광역시 달서구 월배로39길 46 (상인동)","6","4","56","11","1"
"무지개유치원","유치원(일반)","","대구광역시 수성구 용학로 197 (지산동)","1","1","12","0","1"
"새솔유치원","유치원(일반)","","대구광역시 북구 동암로7길 39 (읍내동, 칠곡한서타운)","1","2","7","7","0"
"금강어린이집","어린이집","","대구광역시 수성구 수성로75길 24 (수성동1가)","3","1","9","6","0"
"하늘유치원","유치원(일반)","","대구광역시 수성구 노변공원로3길 10 (노변동)","4","2","13","2","0"
"한솔유치원","유치원(일반)","","대구광역시 달서구 이곡동로 32 (이곡동, 성서와룡타운)","2","2","17","3","1"
"용지초등학교","초등학교","","대구광역시 수성구 지산로 12 (지산동)","5","2","36","8","1"
"범물초등학교","초등학교","","대구광역시 수성구 지범로41길 33 (범물동)","3","5","48","14","0"
"아이성어린이집","어린이집","","대구광역시 서구 국채보상로83길 49 (비산동)","5","3","9","1","0"
"동성초등학교","초등학교","","대구광역시 수성구 수성로 311 (수성동1가)","2","4","27","3","0"
"꼬마또래 어린이집","어린이집","2019년 09월 05일","대구광역시 남구 효동2길 16 (봉덕동)","0","0","0","0","1"
"아름그루 유치원","어린이집","2019년 09월 05일","대구광역시 남구 효동길 91 (봉덕동)","0","0","0","0","0"
"학남어린이집","어린이집","","대구광역시 북구 주좌길 34 (학정동)","0","0","0","0","1"
"복명초등학교","초등학교","","대구광역시 수성구 범안로20길 8 (범물동)","4","5","28","8","1"
"아이린유치원","유치원(일반)","","대구광역시 남구 효동길 14 (봉덕동)","1","2","14","3","1"
"반디유치원","유치원(일반)","","대구광역시 북구 관음동로32길 6-13 (읍내동)","1","3","7","2","0"
"지봉초등학교","초등학교","","대구광역시 수성구 지범로31길 45 (지산동)","3","3","31","12","0"
"대구세명학교","특수학교","","대구광역시 달서구 새방로 62 (용산동)","1","1","9","0","0"
"참좋은어린이집","어린이집","2016년 03월 31일","대구광역시 남구 중앙대로 126 (봉덕동)","1","2","15","0","0"
"이곡초등학교","초등학교","","대구광역시 달서구 선원남로 120 (이곡동)","0","0","0","0","0"
"교동초등학교","초등학교","","대구광역시 북구 관음중앙로34길 4 (읍내동)","4","3","22","10","0"
"한샘유치원","유치원(일반)","","대구광역시 달서구 선원남로 77 (이곡동, 한샘아파트)","0","0","0","0","0"
"성곡초등학교","초등학교","","대구광역시 달서구 선원남로 127 (이곡동)","2","8","33","13","0"
"팔공초등학교","초등학교","","대구광역시 동구 연경지묘로 150 (지묘동)","2","0","0","0","0"
"봉덕초등학교","초등학교","","대구광역시 남구 효성로 71 (봉덕동)","8","10","107","15","1"
"봉덕초교병설","유치원(병설)","1997년 10월 10일","대구광역시 남구 효성로 71 (봉덕동)","0","0","0","0","1"
"명곡초등학교","초등학교","2020년 12월 21일","대구광역시 달성군 화원읍 명곡로 40 ","2","0","0","0","0"
"큰별어린이집","어린이집","","대구광역시 달서구 선원로23북길 16-10 (이곡동)","1","0","4","2","0"
"향뜰어린이집","어린이집","","대구광역시 수성구 천을로 125 (매호동)","1","0","8","6","0"
"하늘빛유치원","유치원(일반)","","대구광역시 수성구 지범로40길 11 (범물동, 서한화성아파트)","1","1","7","4","0"
" 미리내어린이집","어린이집","","대구광역시 달서구 감삼길 99 (감삼동)","0","0","0","0","1"
"시지초등학교","초등학교","","대구광역시 수성구 달구벌대로631길 17 (매호동)","4","4","53","10","0"
" 동심어린이집","어린이집","","대구광역시 달서구 상화로51길 14 (상인동)","0","0","0","0","1"
"사랑숲유치원","유치원(일반)","","대구광역시 수성구 용학로 272 (범물동, 범물창신태성한라맨션)","2","2","26","2","0"
"한별유치원","유치원(일반)","","대구광역시 북구 칠곡중앙대로99길 45-21 (관음동)","0","0","0","0","0"
"관음초등학교","초등학교","","대구광역시 북구 관음동로17길 16 (관음동)","5","3","18","5","0"
"글나라어린이집","어린이집","","대구광역시 서구 국채보상로46길 31-27 (평리동)","6","1","27","9","0"
"대구신성초등학교","초등학교","","대구광역시 동구 동북로71길 29 (신암동)","4","3","31","12","0"
" 아이세상유치원","유치원(일반)","","대구광역시 달서구 선원로37남길 13 (이곡동)","5","1","16","6","0"
"신월초등학교","초등학교","","대구광역시 달서구 조암남로 100 (월성동)","8","3","27","9","0"
"예일유치원","유치원(일반)","","대구광역시 북구 대천로7길 40 (읍내동, 칠곡산호한양아파트)","0","0","0","0","0"
"참좋은 유치원","유치원(일반)","","대구광역시 남구 삼정2길 36 (봉덕동)","1","1","6","1","1"
"범일초등학교","초등학교","","대구광역시 수성구 범안로4길 22 (범물동)","4","5","38","14","0"
"연세유치원","유치원(일반)","","대구광역시 북구 침산남로 165-4 (침산동)","3","0","5","2","1"
"대천초등학교","초등학교","","대구광역시 북구 구암로21길 54 (읍내동)","3","3","21","4","0"
"별하나어린이집","어린이집","","대구광역시 수성구 파동로51길 64 (파동)","1","0","7","3","0"
"행복숲유치원","유치원(일반)","","대구광역시 북구 구암로 17 (관음동, 칠곡2차(수정)한양아파트)","1","1","13","3","0"
"해오름어린이집","어린이집","","대구광역시 동구 율하서로 96 (율하동)","0","0","0","0","0"
"i숲담은어린이집","어린이집","","대구광역시 북구 침산남로9길 41-32 (침산동)","1","0","0","0","0"
"대구관남초등학교","초등학교","","대구광역시 북구 칠곡중앙대로91길 10 (관음동)","2","5","15","3","0"
"솔리유치원","유치원(일반)","","대구광역시 달서구 조암남로19길 11 (월성동)","0","0","0","0","0"
"성서어린이집","어린이집","","대구광역시 달서구 성서서로 89 (월암동)","2","1","10","0","0"
"율빛유치원","유치원(일반)","","대구광역시 동구 율하서로3길 45 (율하동)","0","0","0","0","0"
"대구율금초등학교","초등학교","","대구광역시 동구 안심로16길 70 (율하동)","5","5","61","5","1"
"산격초등학교","초등학교","","대구광역시 북구 산격로10길 14 (산격동)","4","3","41","10","0"
"동곡초등학교병설유치원","유치원(병설)","","대구광역시 달성군 하빈면 달구벌대로55길 104-4 ","0","0","0","0","0"
"대구동곡초등학교","초등학교","","대구광역시 달성군 하빈면 달구벌대로55길 104-4 ","1","2","9","4","0"
"한국대구화교소학교","초등학교","2016년 12월 02일","대구광역시 중구 종로 34 (남일동)","1","0","6","1","0"
"범어유치원","유치원(일반)","","대구광역시 수성구 국채보상로186길 121 (범어동)","1","2","8","5","0"
"중앙초등학교","초등학교","","대구광역시 수성구 만촌로 125 (만촌동)","3","5","35","10","0"
"노전초등학교","초등학교","","대구광역시 달서구 한실로 43 (도원동)","2","1","19","0","0"
" 가톨릭소화어린이집","어린이집","","대구광역시 달서구 월곡로51길 77 (상인동)","6","4","21","3","0"
"자연누리유치원","유치원(일반)","","대구광역시 수성구 노변로 101 (노변동)","1","1","21","4","0"
" 효성어린이집","어린이집","","대구광역시 동구 효목로19길 9-6 (효목동)","0","0","0","0","0"
"구지세현유치원","유치원(일반)","","대구광역시 달성군 구지면 국가산단대로70길 23 ","0","0","0","0","0"
" 영지어린이집","어린이집","","대구광역시 북구 산격로서9길 6-1 (산격동)","3","4","23","4","0"
"도원유치원","유치원(일반)","","대구광역시 달서구 한실로 137 (도원동)","1","1","12","0","1"
"월서유치원","유치원(일반)","","대구광역시 달서구 조암남로16길 34 (월성동)","3","3","11","3","0"
"대구교육대학 부설초등학교","초등학교","","대구광역시 달서구 도원남로 19 (도원동)","3","2","27","1","0"
"대곡유치원","유치원(일반)","","대구광역시 달서구 도원로 42 (도원동)","0","0","0","0","0"
"세원어린이집","어린이집","","대구광역시 동구 효목로17길 50 (효목동)","2","1","15","3","0"
"대구세현초등학교","초등학교","2017년 03월 09일","대구광역시 달성군 구지면 국가산단대로66길 10 ","7","5","42","2","0"
"계성어린이집","어린이집","","대구광역시 수성구 범어로 157 (범어동)","1","1","17","4","0"
"도원초등학교","초등학교","","대구광역시 달서구 도원남로 100-30 (도원동)","2","3","33","16","1"
"해오름유치원","유치원(일반)","","대구광역시 달서구 도원남로 54 (도원동)","0","0","0","0","0"
"대곡초등학교","초등학교","","대구광역시 달서구 도원남로 60 (도원동)","5","5","49","12","0"
"달성어린이집","어린이집","2014년 04월 17일","대구광역시 달성군 현풍읍 현풍중앙로10길 74 ","1","3","11","3","0"
"개미유치원","유치원(일반)","","대구광역시 달서구 상원로3길 19-5 (상인동)","5","1","10","6","0"
"대구아양초등학교","초등학교","","대구광역시 동구 아양로 221 (신암동)","2","1","15","1","0"
"대구율원초등학교","초등학교","","대구광역시 동구 율하동로 55 (율하동)","2","3","21","1","0"
"키즈하버드어린이집","어린이집","","대구광역시 동구 율하동로8길 75 (율하동)","0","0","0","0","0"
"상원어린이집","어린이집","","대구광역시 달서구 조암로 89-23 (월성동)","0","0","0","0","0"
"서대구초등학교","초등학교","","대구광역시 서구 서대구로63길 28-13 (비산동)","13","4","26","14","0"
"대구금포초등학교","초등학교","2019년 07월 25일","대구광역시 달성군 논공읍 금포초등길 28 ","21","4","63","2","0"
"이현초등학교","초등학교","1997년 10월 10일","대구광역시 서구 국채보상로37길 35 (평리동)","10","1","0","0","0"
" 하늘어린이집","어린이집","","대구광역시 북구 고성로34길 90 (고성동1가)","4","3","26","7","0"
"대구금계초등학교","초등학교","","대구광역시 달성군 옥포읍 금계길 55 ","4","5","42","2","0"
" 자연동화유치원","유치원(일반)","","대구광역시 동구 안심로51길 13-2 (서호동)","0","0","0","0","0"
"반송초등학교","초등학교","","대구광역시 달성군 옥포읍 용연사길 5 ","3","1","18","4","0"
"반송초등학교병설","초등학교","","대구광역시 달성군 옥포읍 용연사길 5 ","0","0","0","0","0"
"상화유치원","유치원(일반)","","대구광역시 달서구 상인서로 76 (상인동, 상인영남화성타운)","2","1","13","3","1"
"월촌초등학교","초등학교","","대구광역시 달서구 상인서로 60 (상인동)","2","3","16","4","1"
" 하늘꿈어린이집","어린이집","","대구광역시 달서구 조암로14안길 18-9 (월성동)","2","1","11","4","0"
"해피아이어린이집","어린이집","","대구광역시 달성군 다사읍 대실역북로 96 ","0","0","0","0","0"
"대구봉무초등학교","초등학교","","대구광역시 동구 팔공로53길 30 (봉무동)","2","4","35","0","0"
"마야유치원","유치원(일반)","","대구광역시 달서구 상인로26길 20 (상인동)","1","1","8","5","0"
"대구삼성어린이집","어린이집","2008년 09월 26일","대구광역시 중구 달구벌대로 2016-40 (남산동)","2","1","20","4","0"
"매곡초등병설유치원","유치원(병설)","","대구광역시 달성군 다사읍 대실역북로3길 6 ","0","0","0","0","0"
"매곡초등학교","초등학교","2019년 07월 25일","대구광역시 달성군 다사읍 대실역북로3길 6 ","0","0","0","0","0"
