행정구역코드,시도명,시군구명,읍면동명,평일주말구분,평균속도
2207072,대구광역시,달서구,용산1동,평일,34.43
2207073,대구광역시,달서구,용산2동,평일,32.1
2207074,대구광역시,달서구,이곡2동,평일,34.39
2207075,대구광역시,달서구,성당동,평일,30.44
2207076,대구광역시,달서구,두류1·2동,평일,33.52
2231011,대구광역시,달성군,화원읍,평일,49.99
2231012,대구광역시,달성군,논공읍,평일,58.89
2231013,대구광역시,달성군,다사읍,평일,40.57
2231014,대구광역시,달성군,유가읍,평일,54.32
2231031,대구광역시,달성군,가창면,평일,52.94
2231032,대구광역시,달성군,하빈면,평일,59.56
2231033,대구광역시,달성군,옥포면,평일,65.3
2231034,대구광역시,달성군,현풍면,평일,56.15
2231036,대구광역시,달성군,구지면,평일,50.3
