시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,읍면동,전체인구,어린이인구,신호등 300m,어린이비율,위험도점수
달성초등학교,대구광역시 서구 고성로 127 (원대동1가),33,14,57,19,15.0,0,35.88281761,128.5792117,29.51,80.4,원대동,10180,687,21,6.75,17.181792568787337
대곡가야유치원,대구광역시 달서구 비슬로538길 7 (대곡동),2,2,13,7,8.0,0,35.80770731,128.5096029,30.92,0.0,진천동,49707,5016,7,10.09,35.14553027423203
대곡유치원,대구광역시 달서구 도원로 42 (도원동),0,0,0,0,30.0,0,35.80600034,128.5352145,31.93,514.0,도원동,32050,2301,19,7.18,42.0468072380512
대곡초등학교,대구광역시 달서구 도원남로 60 (도원동),5,5,49,12,25.0,0,35.8032986,128.5357486,31.93,0.0,도원동,32050,2301,11,7.18,29.59064666487353
대광어린이집,대구광역시 달서구 용산로4길 32 (본리동),2,2,7,9,6.0,1,35.83843377,128.532385,32.6,0.0,본리동,22460,2763,13,12.3,41.520481702161135
대구가톨릭대학교부설유치원,대구광역시 동구 안심로 300 (동호동),3,1,7,2,20.0,0,35.865592,128.7176258,44.54,0.0,국우동,30174,3460,4,11.47,43.730334207836115
대구감삼초등학교,대구광역시 달서구 당산로 123 (감삼동),8,4,41,13,6.0,1,35.84917998,128.5451459,34.48,22.0,감삼동,30507,3624,10,11.88,38.75143125359387
대구감천초등학교,대구광역시 달서구 구마로12길 60 (월성동),4,5,38,12,15.0,0,35.83526704,128.5330982,32.97,84.4,월성동,53940,7201,5,13.35,34.39977326837231
대구강동초등학교,대구광역시 동구 동호로7길 17 (신서동),3,2,18,4,8.0,1,35.86809748,128.7302386,45.96,167.75,안심동,101173,10230,6,10.11,48.94653111971661
대구강림초등학교,대구광역시 달성군 옥포읍 돌미로 15 ,8,1,23,0,26.0,0,35.78124474,128.436759,65.3,237.6,옥포읍,23013,2633,13,11.44,48.816586324901785
대구공산초등학교,대구광역시 동구 팔공로197길 35 (백안동),1,2,12,6,8.0,0,35.9564807,128.6906261,55.62,32.5,공산동,20244,1589,5,7.85,41.47718952852916
대구과학대학부설유치원,대구광역시 북구 영송로 15 (태전동),0,0,0,0,12.0,0,35.92684373,128.5440255,42.48,0.0,태전동,43857,3081,14,7.03,39.187638127532836
대구과학어린이집,대구광역시 달서구 와룡로15길 62 (본리동),2,2,12,6,8.0,1,35.83986,128.5336,32.6,0.0,본리동,22460,2763,11,12.3,43.10566340585547
대구관남초등학교,대구광역시 북구 칠곡중앙대로91길 10 (관음동),2,5,15,3,12.0,0,35.93683759,128.5477879,55.86,117.75,관음동,14488,847,13,5.85,38.535112128787475
대구관문초등학교,대구광역시 북구 매전로 32 (매천동),2,1,14,2,14.0,0,35.90869975,128.5461085,59.66,14.25,관문동,33060,4459,11,13.49,45.22528107094045
대구관천초등학교,대구광역시 북구 구암로22길 17 (태전동),4,2,17,5,18.0,1,35.9305641,128.5520482,42.48,288.5,태전동,43857,3081,12,7.03,46.99018295247404
대구교육대학 부설초등학교,대구광역시 달서구 도원남로 19 (도원동),3,2,27,1,25.0,1,35.80596789,128.5323817,31.93,0.0,도원동,32050,2301,14,7.18,42.75125980562685
대구근로복지공단어린이집,대구광역시 서구 서대구로17길 28 (중리동),7,3,9,4,10.0,0,35.865136,128.552628,50.57,0.0,상중이동,17613,1248,15,7.09,37.01070519218085
대구금계초등학교,대구광역시 달성군 옥포읍 금계길 55 ,4,5,42,2,9.0,0,35.78883806,128.443791,65.3,12.4,옥포읍,23013,2633,1,11.44,44.42827887935479
대구금포초등학교,대구광역시 달성군 논공읍 금포초등길 28 ,21,4,63,2,8.0,0,35.77429302,128.4254986,58.89,127.2,논공읍,15484,1082,21,6.99,35.67770768383007
대구남부초등학교,대구광역시 달서구 야외음악당로15길 46 (성당동),5,5,37,12,8.0,0,35.84443849,128.5499641,30.44,101.8,성당동,20919,1652,18,7.9,27.130340796228907
대구남송초등학교,대구광역시 달서구 송현로 192 (본동),4,7,57,9,20.0,0,35.83490543,128.5453631,30.61,0.0,본동,11728,721,11,6.15,27.703638416482328
대구남양학교,대구광역시 수성구 무학로37안길 6 (지산동),5,5,40,9,9.0,0,35.834025,128.629108,47.09,0.0,지산동,37797,2415,0,6.39,35.966989854682424
대구내당초등학교,대구광역시 달서구 명덕로 22-9 (두류동),6,3,31,12,6.0,0,35.86063851,128.5723871,32.95,1.4,두류동,23121,1384,17,5.99,27.62234373803872
대구논공초등학교,대구광역시 달성군 논공읍 논공로7길 41 ,0,0,0,0,8.0,0,35.73103879,128.4376482,58.89,117.4,논공읍,15484,1082,0,6.99,48.057867988476744
대구다사초등학교,대구광역시 달성군 다사읍 다사로 86 ,7,2,18,4,18.0,0,35.8694288,128.4584848,40.57,244.4,다사읍,90377,14360,2,15.89,45.48722497361019
대구대실유치원,대구광역시 달성군 다사읍 대실역남로1길 29 ,0,0,0,0,20.0,1,35.85260229,128.4676236,40.57,0.0,다사읍,90377,14360,7,15.89,52.76335452485005
대구대실초등학교,대구광역시 달성군 다사읍 대실역남로1길 31 ,6,5,76,16,20.0,1,35.85308854,128.4678979,40.57,61.8,다사읍,90377,14360,6,15.89,41.64985369526719
대구덕성초등학교,대구광역시 동구 아양로34길 50 (신암동),3,2,18,5,6.0,0,35.88210504,128.6284765,34.16,742.25,신암동,59668,6097,9,10.22,42.71509670969414
대구도림초등학교,대구광역시 달성군 다사읍 서재로26길 94 ,3,1,47,3,10.0,0,35.878165,128.4997991,40.57,7.4,다사읍,90377,14360,4,15.89,41.35838487250769
대구동곡초등학교,대구광역시 달성군 하빈면 달구벌대로55길 104-4 ,1,2,9,4,6.0,0,35.87936389,128.4173532,59.56,33.2,하빈면,3276,87,5,2.66,40.937854809293725
대구동부초등학교,대구광역시 동구 신암북로7길 22 (신암동),4,4,25,4,6.0,0,35.88802582,128.6198324,34.16,19.25,신암동,59668,6097,2,10.22,36.652627669197756
대구동신초등학교,대구광역시 동구 송라로 123 (신암동),4,7,59,12,8.0,0,35.87827534,128.6150277,34.16,95.5,신암동,59668,6097,10,10.22,29.042605804998058
대구동촌초등학교,대구광역시 동구 동촌로 168 (방촌동),2,1,20,1,8.0,0,35.882087,128.658952,38.96,0.0,방촌동,17161,965,4,5.62,38.48689618827118
대구동호초등학교,대구광역시 동구 동호로 25 (동호동),1,1,18,2,20.0,0,35.8653521,128.7204858,44.54,25.5,국우동,30174,3460,8,11.47,42.248962973736404
대구반야월초등학교,대구광역시 동구 안심로49길 70 (서호동),2,2,13,5,6.0,1,35.86827367,128.7107622,45.96,88.5,안심동,101173,10230,1,10.11,49.38852557383772
대구방촌초등학교,대구광역시 동구 동촌로42길 35-14 (방촌동),4,5,24,5,8.0,0,35.88065514,128.6630347,38.96,92.5,방촌동,17161,965,11,5.62,33.23332119642239
대구본리초등학교,대구광역시 달서구 장기로 198 (감삼동),7,4,33,16,8.0,1,35.84457103,128.5386403,34.48,21.6,감삼동,30507,3624,14,11.88,37.122068266077505
대구봉무초등학교,대구광역시 동구 팔공로53길 30 (봉무동),2,4,35,0,20.0,0,35.92580074,128.637412,55.11,165.75,봉무동,19806,2304,3,11.63,45.7114038217435
대구북동초등학교,대구광역시 달성군 논공읍 논공로11길 18 ,15,15,96,22,12.0,0,35.72947978,128.4413202,58.89,287.4,논공읍,15484,1082,4,6.99,27.70875518023987
대구불로초등학교,대구광역시 동구 방천로3길 19 (불로동),4,4,19,14,6.0,0,35.89747918,128.6335014,55.11,24.0,봉무동,19806,2304,1,11.63,39.54847377051915
대구비산초등학교,대구광역시 서구 통학로 202 (평리동),9,4,24,5,15.0,0,35.87875905,128.5643247,35.23,183.2,평리동,57243,5135,12,8.97,35.62136986228766
대구비슬초등학교,대구광역시 달성군 유가읍 테크노북로 144 ,4,9,65,0,7.0,2,35.69605694,128.458744,54.32,0.0,유가읍,31072,6236,15,20.07,52.777849431196266
대구삼성어린이집,대구광역시 중구 달구벌대로 2016-40 (남산동),2,1,20,4,7.5,0,35.864469,128.584301,33.32,0.0,남산동,34268,4017,15,11.72,35.19796724929887
대구상원유치원,대구광역시 달서구 학산남로 34 (상인동),0,0,0,0,20.0,2,35.82283958,128.5367112,36.08,0.0,상인동,60234,4622,5,7.67,56.48568948683739
대구새론초등학교,대구광역시 동구 과학로13길 5 (각산동),2,2,24,0,8.0,0,35.88380453,128.717223,45.96,94.0,안심동,101173,10230,4,10.11,42.39764183973646
대구서재초등학교,대구광역시 달성군 다사읍 서재로 100 ,10,6,49,13,12.0,0,35.87192218,128.4983801,40.57,5.0,다사읍,90377,14360,9,15.89,33.48117098628698
대구서촌초등학교,대구광역시 동구 파계로 525-11 (중대동),2,0,10,0,20.0,0,35.98040326,128.6317455,55.62,2.0,공산동,20244,1589,3,7.85,46.410541296799224
대구선명학교,대구광역시 동구 팔공산로 225 (덕곡동),2,2,12,2,20.0,0,35.99718756,128.6137631,55.62,0.0,공산동,20244,1589,2,7.85,44.6842494465231
대구성남초등학교,대구광역시 달서구 성당로47길 35 (두류동),5,6,27,10,8.0,0,35.85332922,128.5722902,32.95,6.0,두류동,23121,1384,12,5.99,28.372998113397603
대구성보학교,대구광역시 북구 동북로71길 9-45 (복현동),1,1,6,2,12.0,0,35.89408427,128.6302775,37.46,0.0,복현동,35769,3057,0,8.55,41.2631031666534
대구성지초등학교,대구광역시 달서구 새동네로 27 (용산동),2,2,33,9,20.0,0,35.85329006,128.5187152,33.27,809.0,용산동,54353,3961,10,7.29,41.11599590461919
대구세명학교,대구광역시 달서구 새방로 62 (용산동),1,1,9,0,30.0,0,35.86341822,128.5243182,33.27,0.0,용산동,54353,3961,7,7.29,40.07000590001853
대구세천초등학교,대구광역시 달성군 다사읍 세천로 182-9 ,2,5,32,4,16.0,0,35.87434699,128.4814697,40.57,62.8,다사읍,90377,14360,6,15.89,39.78999531808598
대구세현초등학교,대구광역시 달성군 구지면 국가산단대로66길 10 ,7,5,42,2,12.0,1,35.65978473,128.4198073,50.3,0.0,구지면,18964,3331,10,17.56,48.25801502156774
대구송정초등학교,대구광역시 동구 안심로90길 9 (괴전동),4,10,45,4,8.0,0,35.87060736,128.7340267,45.96,137.25,안심동,101173,10230,5,10.11,35.19511665335964
대구신성초등학교,대구광역시 동구 동북로71길 29 (신암동),4,3,31,12,6.0,0,35.89012297,128.6289427,34.16,9.5,신암동,59668,6097,2,10.22,34.236999150022044
대구신천초등학교,대구광역시 동구 송라로6길 5 (신천동),7,5,55,4,6.0,1,35.871649,128.6210093,34.22,25.75,신천동,35806,3030,21,8.46,35.737350559191874
대구아양초등학교,대구광역시 동구 아양로 221 (신암동),2,1,15,1,8.0,0,35.88746268,128.6374338,34.16,26.5,신암동,59668,6097,7,10.22,38.762122923459394
대구아이누리유치원,대구광역시 달성군 논공읍 논공로15길 20-14 ,0,0,0,0,6.0,0,35.86383095,128.4662651,40.57,0.0,다사읍,90377,14360,16,15.89,41.046720095449665
대구안일초등학교,대구광역시 동구 율하동로23길 66 (율하동),2,2,40,3,8.0,0,35.871415,128.6952236,45.96,247.25,안심동,101173,10230,7,10.11,41.21189908974473
대구영신초등학교,대구광역시 동구 팔공로50길 32 (봉무동),4,0,14,2,8.0,0,35.92000422,128.646424,55.11,0.0,봉무동,19806,2304,1,11.63,46.26451407520465
대구예술어린이집,대구광역시 달서구 죽전1안길 14 (죽전동),2,1,6,0,6.0,0,35.85282869,128.5403127,32.68,0.0,죽전동,14305,969,7,6.77,37.30617779191279
대구용천초등학교,대구광역시 달서구 조암남로32길 55 (유천동),2,3,26,5,15.0,1,35.81972464,128.5125985,30.92,62.2,진천동,49707,5016,7,10.09,43.42144473487047
대구용호초등학교,대구광역시 동구 동촌로56길 82 (방촌동),5,4,30,8,8.0,1,35.87735702,128.6723772,38.96,27.5,방촌동,17161,965,12,5.62,39.15099692339408
대구월서초등학교,대구광역시 달서구 월배로39길 46 (상인동),6,4,56,11,8.0,2,35.82174515,128.5318133,36.08,0.0,상인동,60234,4622,25,7.67,40.36499858497727
대구월암초등학교,대구광역시 달서구 조암로6길 55 (월성동),6,11,98,17,10.0,2,35.828572,128.5217032,32.97,0.0,월성동,53940,7201,5,13.35,39.83731708777833
대구유가초등학교,대구광역시 달성군 유가읍 테크노대로5길 34 ,3,2,55,0,22.0,2,35.69223444,128.4677385,54.32,478.8,유가읍,31072,6236,7,20.07,66.23601798177502
대구유천초등학교,대구광역시 달서구 달서대로 39 (유천동),5,3,40,9,12.0,2,35.81257393,128.5118548,30.92,0.0,진천동,49707,5016,9,10.09,47.411652673407715
대구율금초등학교,대구광역시 동구 안심로16길 70 (율하동),5,5,61,5,20.0,1,35.86188781,128.6918367,45.96,18.0,안심동,101173,10230,10,10.11,43.35591051379977
대구율원초등학교,대구광역시 동구 율하동로 55 (율하동),2,3,21,1,30.0,1,35.864894,128.700743,45.96,142.25,안심동,101173,10230,9,10.11,50.36791015704245
대구입석초등학교,대구광역시 동구 아양로 300 (입석동),1,1,21,0,30.0,0,35.89069277,128.6439976,37.55,10.5,동촌동,14249,863,9,6.06,39.537717098390814
대구장동초등학교,대구광역시 달서구 달구벌대로304길 112 (장기동),4,3,17,6,15.0,1,35.84478484,128.5317635,38.33,0.0,장기동,15597,1358,21,8.71,39.894613224288484
대구장성초등학교,대구광역시 달서구 달구벌대로 1429-11 (장기동),6,13,48,19,8.0,0,35.85035905,128.5232345,38.33,9.2,장기동,15597,1358,13,8.71,22.13055202977948
대구죽곡초등학교,대구광역시 달성군 다사읍 죽곡1길 18 ,6,7,74,24,14.0,0,35.85679928,128.463332,40.57,1041.8,다사읍,90377,14360,12,15.89,37.27696121212447
대구죽전초등학교,대구광역시 달서구 죽전길 127 (죽전동),6,7,28,15,10.0,1,35.85778773,128.5399257,32.68,0.0,죽전동,14305,969,14,6.77,33.332460202416705
